X,Y,FID,NAME,CLASS,ST,STFIPS,PLACEFIPS,CAPITAL,POP_CLASS,POPULATION,POP2010,WHITE,BLACK,AMERI_ES,ASIAN,HAWN_PI,HISPANIC,OTHER,MULT_RACE,MALES,FEMALES,AGE_UNDER5,AGE_5_9,AGE_10_14,AGE_15_19,AGE_20_24,AGE_25_34,AGE_35_44,AGE_45_54,AGE_55_64,AGE_65_74,AGE_75_84,AGE_85_UP,MED_AGE,MED_AGE_M,MED_AGE_F,HOUSEHOLDS,AVE_HH_SZ,HSEHLD_1_M,HSEHLD_1_F,MARHH_CHD,MARHH_NO_C,MHH_CHILD,FHH_CHILD,FAMILIES,AVE_FAM_SZ,HSE_UNITS,VACANT,OWNER_OCC,RENTER_OCC
-111.95410287,43.475792356,1,Ammon,city,ID,16,1601990, ,6,15181,13816,13002,73,67,113,9,884,307,245,6750,7066,1468,1503,1313,1058,734,2031,1767,1446,1136,665,486,209,29.6,28,30.8,4476,3.05,457,648,1618,1131,106,335,3352,3.61,4747,271,3205,1271
-112.345567024,43.1939371010001,2,Blackfoot,city,ID,16,1607840, ,6,11946,11899,9893,40,418,125,18,2192,1077,328,5907,5992,1239,1099,890,817,818,1799,1235,1330,1143,721,579,229,30.8,29.7,32.1,4229,2.74,563,690,1091,1081,174,381,2958,3.31,4547,318,2788,1441
-116.230110212,43.599014809,3,Boise City,city,ID,16,1608830,State,8,225405,205671,182991,3043,1404,6501,457,14606,5139,6136,101690,103981,13155,12933,12750,13959,16966,32135,27048,29595,24177,12176,7087,3690,35.3,34.4,36.5,85704,2.36,16605,18104,16708,21233,2414,5919,50647,2.97,92700,6996,52345,33359
-113.79329273,42.536740885,4,Burley,city,ID,16,1611260, ,6,10727,10345,7984,45,103,74,5,3460,1795,339,5136,5209,1073,959,790,768,699,1445,1136,1134,935,679,464,263,30.9,29.6,32.3,3644,2.76,498,634,950,861,139,358,2499,3.37,3885,241,2183,1461
-116.685618861,43.6616260530001,5,Caldwell,city,ID,16,1612250, ,7,53942,46237,35856,300,539,406,41,16347,7449,1646,22821,23416,4962,4397,3803,3779,3687,7571,5559,4744,3624,2296,1222,593,28.1,27.3,28.9,14895,3,1795,2250,4407,3113,686,1755,10776,3.51,16323,1428,9699,5196
-112.469557801,42.9227456730001,6,Chubbuck,city,ID,16,1614680, ,6,14655,13922,12596,62,339,159,36,1050,318,412,6766,7156,1512,1406,1157,929,822,2228,1646,1494,1333,753,438,204,30.2,29.7,30.7,4732,2.94,464,666,1558,1281,172,370,3586,3.4,4961,229,3324,1408
-116.793150119,47.704589083,7,Coeur d'Alene,city,ID,16,1616750, ,7,50469,44137,41417,175,520,364,63,1911,382,1216,21454,22683,2977,2755,2708,3108,3755,6536,5265,5601,5005,3083,2156,1188,35.4,33.7,37.6,18395,2.33,3269,4212,3244,4517,638,1524,10813,2.92,20219,1824,10365,8030
-116.350884489,43.694687644,8,Eagle,city,ID,16,1623410, ,6,25825,19908,18802,60,99,326,23,927,203,395,9776,10132,1101,1780,2121,1531,673,1296,2953,3468,2577,1448,675,285,40.6,40,41.1,7069,2.82,596,869,2349,2450,165,398,5585,3.2,7570,501,5770,1299
-116.2934025,43.6647005460001,9,Garden City,city,ID,16,1629620, ,6,12172,10972,9453,112,119,158,8,1509,780,342,5307,5665,696,613,589,639,706,1254,1199,1612,1597,1075,669,323,43.3,41.4,45.3,4878,2.22,868,1144,673,1390,140,372,2849,2.81,5429,551,3042,1836
-116.801122234,47.768560221,10,Hayden,city,ID,16,1636370, ,6,14759,13294,12642,27,123,114,12,562,92,284,6423,6871,926,973,943,875,623,1612,1718,1762,1577,1157,820,308,39.3,37.6,40.8,5212,2.54,615,938,1257,1641,165,315,3645,3.01,5563,351,3839,1373
